trust_exp,runoff_bolsonaro,runoff_haddad,vote_haddad,vote_bolsonaro,runoff_nulo,ideo_place_self,positive_partisanship,negative_partisanship,covid_job,covid_health,covid_government,treat_neutral_bolsonaro,treat_neutral_haddad,treat_negative_bolsonaro,treat_negative_haddad,treat_reaction,treat_emotions,control_neutral_bolsonaro,control_neutral_haddad,control_negative_bolsonaro,control_negative_haddad,income,age,gender,work,education,treat_negative,treatment_haddad,treatment_bolsonaro,negative_bolsonaro,neutral_bolsonaro,negative_haddad,neutral_haddad,anti,petistas,nonpartisans
treatment,On,Off,Off,On,Off,10,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat Likely,Very Appropriate,0,1,0,0,"“Retuitar""",Otimista,0,0,0,0,7,Entre 56 e 65,Man,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,1,0,0
control,On,Off,Off,On,Off,9,Nenhum,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Enojado,0,1,0,0,NA,Entre 56 e 65,Man,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,1,0,0
treatment,Off,On,Off,Off,Off,0,Outro,Partido Social Liberal (PSL),Somewhat unlikely,Somewhat unlikely,Not Appropriate,0,0,0,1,“Curtir”,"Triste,Preocupado",0,0,0,0,7,Entre 18 e 25,Feminino,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,0,Prefiro Não Responder,Prefiro não Responder,Very unlikely,Very unlikely,Very Appropriate,0,0,1,0,"""Ignorar”",Enojado,0,0,0,0,1,Entre 36 e 45,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,8,Prefiro Não Responder,Não sei,Very unlikely,Somewhat Likely,Very Appropriate,1,0,0,0,“Curtir”,Otimista,0,0,0,0,2,Entre 56 e 65,Feminino,Unemployed,Primário Completo,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,10,Nenhum,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Very Appropriate,1,0,0,0,"“Retuitar""",Otimista,0,0,0,0,7,Entre 56 e 65,Man,Unemployed,Ensino Superior Incompleto,0,0,1,0,1,0,0,1,0,0
treatment,On,Off,Off,On,Off,-999,Prefiro Não Responder,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,1,0,0,0,“Curtir”,Preocupado,0,0,0,0,4,Entre 56 e 65,Man,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,1,0,0
control,Off,On,Off,Off,Off,1,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Very Likely,Somewhat Likely,Not Appropriate,0,0,0,0,"“Retuitar""",Preocupado,0,0,0,1,4,Entre 36 e 45,Feminino,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,1,0
control,Off,Off,Off,Off,On,5,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,“Curtir”,Preocupado,0,0,0,1,6,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,1,0,0
treatment,Off,Off,Off,Off,On,8,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,4,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
control,Off,On,On,Off,Off,2,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,"“Curtir”,“Retuitar""",Preocupado,0,1,0,0,3,Entre 46 e 55,Man,Employed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,1,0
control,On,Off,Off,On,Off,7,Partido da Social Democracia (PSDB),Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"“Retuitar""","Triste,Preocupado",0,1,0,0,4,Entre 46 e 55,Feminino,Employed,Segundo Grau/Ensino Médio Incompleto,0,1,0,0,0,0,1,0,0,0
treatment,Off,Off,Off,Off,On,5,Prefiro Não Responder,Todos igualmente,Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,0,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,2,Nenhum,Todos igualmente,Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"""Ignorar”",Estressado,0,0,0,0,4,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
treatment,On,Off,Off,On,Off,5,Prefiro Não Responder,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"""Ignorar”",Indiferente,0,0,0,0,4,Entre 36 e 45,Feminino,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,1,0,0
treatment,Off,Off,Off,Off,On,8,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat unlikely,Somewhat Appropriate,0,1,0,0,“Curtir”,"Otimista,Preocupado",0,0,0,0,7,Mais do que 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,Off,On,3,Partido da Social Democracia (PSDB),Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,“Curtir”,Preocupado,0,0,0,0,4,Entre 46 e 55,Man,Employed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,0
control,Off,On,Off,Off,Off,-999,Movimento Democrático Brasileiro (MDB),Partido Social Liberal (PSL),Very Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Irritado,1,0,0,0,9,Entre 56 e 65,Man,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
control,Off,On,On,Off,Off,6,Prefiro Não Responder,Prefiro não Responder,Very Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,“Curtir”,Preocupado,0,1,0,0,7,Entre 36 e 45,Feminino,Employed,Primário Completo,0,1,0,0,0,0,1,0,0,1
treatment,Off,On,Off,Off,Off,-999,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat unlikely,Somewhat Appropriate,0,1,0,0,“Curtir”,Preocupado,0,0,0,0,7,Entre 46 e 55,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,1
control,On,Off,Off,Off,Off,7,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,0,0,0,0,"""Ignorar”",Indiferente,0,0,1,0,3,Entre 56 e 65,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,1,0,0
control,On,Off,Off,On,Off,10,Outro,Partido dos Trabalhadores (PT),Very unlikely,Very unlikely,Very Appropriate,0,0,0,0,“Responder/Reply”,Enojado,0,0,0,1,4,Mais do que 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,0
control,Off,Off,Off,Off,On,7,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Preocupado,0,1,0,0,7,Entre 46 e 55,Man,Employed,Primário Completo,0,1,0,0,0,0,1,0,0,1
treatment,Off,On,Off,Off,Off,1,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Preocupado,0,0,0,0,5,Entre 18 e 25,Feminino,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,1,0,0
treatment,Off,Off,Off,Off,On,-999,Nenhum,Prefiro não Responder,Very Likely,Very Likely,Somewhat Appropriate,0,1,0,0,"""Ignorar”",Preocupado,0,0,0,0,NA,Entre 46 e 55,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
control,Off,Off,Off,Off,On,3,Nenhum,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”","Irritado,Enojado",1,0,0,0,5,Entre 36 e 45,Feminino,Employed,Pós-graduação,0,0,1,0,1,0,0,1,0,0
control,Off,Off,Off,Off,On,9,Não Sei,Todos igualmente,Very Likely,Very Likely,Somewhat Appropriate,0,0,0,0,“Responder/Reply”,Enojado,1,0,0,0,5,Entre 46 e 55,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,10,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Very unlikely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”","Irritado,Enojado,Estressado",0,0,0,0,2,Mais do que 65,Man,Unemployed,Primário Completo,1,1,0,0,0,1,0,1,0,0
treatment,Off,Off,Off,Off,On,1,Outro,Outro,Somewhat Likely,Very unlikely,Somewhat Appropriate,0,0,0,1,"""Ignorar”",Enojado,0,0,0,0,4,Entre 56 e 65,Man,Unemployed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,5,Nenhum,Não sei,Very Likely,Somewhat unlikely,Somewhat Appropriate,0,0,0,1,"""Ignorar”",Preocupado,0,0,0,0,6,Entre 36 e 45,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
control,On,Off,Off,Off,Off,3,Não Sei,Partido dos Trabalhadores (PT),Somewhat Likely,Very Likely,Somewhat Appropriate,0,0,0,0,“Curtir”,Otimista,1,0,0,0,5,Entre 36 e 45,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,0,0,1,0,1,0,0,0,0,0
treatment,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,1,0,0,"“Curtir”,“Retuitar""","Irritado,Preocupado",0,0,0,0,6,Entre 18 e 25,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,0,1,0
treatment,Off,On,Off,Off,Off,1,Prefiro Não Responder,Todos igualmente,Somewhat Likely,Very Likely,Somewhat Unappropriate,1,0,0,0,“Curtir”,Indiferente,0,0,0,0,7,Entre 18 e 25,Feminino,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
control,Off,On,Off,Off,Off,1,Nenhum,Partido Social Liberal (PSL),Very unlikely,Somewhat unlikely,Not Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,1,0,6,Entre 26 e 35,Man,Unemployed,Ensino Superior Incompleto,1,0,1,1,0,0,0,0,0,1
control,On,Off,Off,On,Off,9,Nenhum,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Indiferente,0,0,0,1,NA,Mais do que 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,1,0,0
treatment,Off,Off,Off,Off,On,7,Nenhum,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,“Responder/Reply”,Preocupado,0,0,0,0,5,Mais do que 65,Feminino,Unemployed,Ensino Superior Completo,0,0,1,0,1,0,0,1,0,0
control,Off,Off,Off,Off,On,7,Não Sei,Não sei,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,"“Curtir”,“Retuitar""",Otimista,0,1,0,0,5,Entre 18 e 25,Man,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
control,On,Off,Off,On,Off,8,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,1,0,7,Mais do que 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,1,0,0
treatment,On,Off,Off,On,Off,3,Prefiro Não Responder,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,5,Entre 36 e 45,Man,Employed,Ensino Superior Completo,1,0,1,1,0,0,0,1,0,0
treatment,Off,Off,Off,Off,On,2,Nenhum,Prefiro não Responder,Very unlikely,Somewhat Likely,Somewhat Unappropriate,0,1,0,0,“Curtir”,Estressado,0,0,0,0,3,Entre 46 e 55,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
treatment,Off,On,On,Off,Off,0,Não Sei,Partido Social Liberal (PSL),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,0,1,“Curtir”,"Irritado,Triste,Preocupado",0,0,0,0,5,Entre 26 e 35,Man,Employed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,9,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Very Appropriate,1,0,0,0,“Curtir”,Preocupado,0,0,0,0,NA,Entre 56 e 65,Man,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,1,0,0
treatment,Off,Off,Off,Off,On,10,Nenhum,Todos igualmente,Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"“Retuitar""",Preocupado,0,0,0,0,7,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
treatment,On,Off,Off,On,Off,9,Partido Social Liberal (PSL),Democratas (DEM),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,0,1,"""Ignorar”",Triste,0,0,0,0,6,Entre 56 e 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,2,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat unlikely,Somewhat unlikely,Not Appropriate,1,0,0,0,"""Ignorar”","Irritado,Enojado,Estressado,Preocupado",0,0,0,0,4,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,1,0
treatment,Off,Off,Off,Off,On,5,Nenhum,Não sei,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,1,0,“Curtir”,Indiferente,0,0,0,0,3,Entre 46 e 55,Feminino,Unemployed,Primário Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,Off,Off,Off,On,0,Democratas (DEM),Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Somewhat Appropriate,0,1,0,0,“Responder/Reply”,Preocupado,0,0,0,0,8,Mais do que 65,Man,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,0
treatment,Off,Off,Off,Off,On,3,Nenhum,Outro,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,1,"“Retuitar""",Preocupado,0,0,0,0,6,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
control,Off,Off,Off,Off,On,2,Outro,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,0,0,0,0,"""Ignorar”",Irritado,0,0,1,0,2,Entre 18 e 25,Man,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,0
control,Off,Off,Off,Off,On,4,Prefiro Não Responder,Prefiro não Responder,Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Irritado,0,0,0,1,5,Entre 46 e 55,Feminino,Unemployed,Primário Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Movimento Democrático Brasileiro (MDB),Very Likely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”",Preocupado,0,0,0,0,NA,Entre 46 e 55,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,1,0
treatment,On,Off,Off,On,Off,4,Nenhum,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat unlikely,Somewhat Appropriate,0,0,0,1,"""Ignorar”",Enojado,0,0,0,0,5,Mais do que 65,Man,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,1,0,0
control,Off,Off,Off,Off,On,8,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,0,1,5,Mais do que 65,Man,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,1,0,0
